#Data tag : 24v2 , Norm tag: onlineresult
#+-------------+-------------------+------+------+---------------------+---------------------+
# run:fill     time               nls   ncms  delivered(/ub)       recorded(/ub)       
#+-------------+-------------------+------+------+---------------------+---------------------+
 315257:6615  04/26/18 21:09:40  90    90    8244873.943802410    7875652.214948300   
 315259:6615  04/26/18 21:54:51  172   172   14104982.692184296   13742036.738821814  
 315264:6616  04/27/18 02:45:32  230   230   40706107.159114942   39013231.361514851  
 315265:6616  04/27/18 04:20:05  55    55    9150117.453071307    6336632.799334206   
 315267:6616  04/27/18 04:59:11  244   244   37455391.403380059   36401502.018996410  
 315270:6616  04/27/18 06:44:15  633   633   78780551.094014287   77040478.826887906  
 315322:6617  04/27/18 14:41:34  1329  1329  180354100.678532809  176234017.768732101 
 315339:6618  04/28/18 03:06:24  618   618   93854358.209938049   91555168.652790219  
 315357:6620  04/28/18 19:32:25  776   776   152936914.873382121  149060878.162390053 
 315361:6621  04/29/18 03:17:58  580   580   120355906.924099371  116453756.127084479 
 315363:6621  04/29/18 07:08:35  86    86    14547867.415754886   14145188.850232705  
 315366:6621  04/29/18 08:43:30  736   736   98893301.725491747   97359662.230269313  
 315420:6624  04/29/18 23:54:09  1707  1707  257304228.460578382  251848623.145740181 
 315488:6628  04/30/18 19:08:38  802   802   191252991.509262621  186123364.581914127 
 315489:6628  05/01/18 02:09:59  691   691   101559713.062272087  99820287.829642713  
 315490:6628  05/01/18 06:53:23  24    24    2452247.450826758    2420044.340119760   
 315506:6629  05/01/18 10:08:40  88    88    28846960.010865759   27404614.846078739  
 315510:6629  05/01/18 11:10:29  345   345   104300683.028400213  100745731.805475578 
 315512:6629  05/01/18 13:27:09  1122  1122  233168646.481566548  228885473.001307786 
 315543:6633  05/02/18 04:09:50  117   117   37049614.630186409   36091538.722751074  
 315555:6636  05/02/18 09:42:48  76    76    23792344.935017925   21464942.269248243  
 315556:6636  05/02/18 10:15:54  26    26    8783415.625027824    8214690.223972957   
 315557:6636  05/02/18 10:30:10  279   279   84161781.980348825   82076689.846859947  
 315640:6638  05/02/18 21:31:41  42    42    14535817.325784486   10229295.515134946  
 315641:6638  05/02/18 21:56:12  4     4     1485991.486581657    1206105.093182915   
 315642:6638  05/02/18 22:03:16  92    92    31866426.248401038   30611117.077480793  
 315644:6638  05/02/18 22:42:00  184   184   63058287.911476217   61475659.562277310  
 315645:6638  05/02/18 23:58:43  583   583   159609992.126845688  155820628.844961643 
 315646:6638  05/03/18 03:51:56  1033  1033  186871079.433212101  183546425.036062479 
 315647:6638  05/03/18 10:38:46  58    58    8225138.115146163    7608845.653063198   
 315648:6638  05/03/18 11:04:01  110   110   14708900.492002496   14436219.089768780  
 315689:6639  05/03/18 14:58:22  1111  1111  327722543.745255530  318715754.039172351 
 315690:6639  05/03/18 22:39:08  645   645   115778103.593430728  113712537.314424679 
 315702:6640  05/04/18 08:08:15  76    76    23753004.950972006   22078718.576562785  
 315703:6640  05/04/18 08:40:27  545   545   157617039.810410649  152388983.764203906 
 315704:6640  05/04/18 12:15:58  61    61    14542480.157181296   14132134.790650185  
 315705:6640  05/04/18 12:42:46  698   698   128472765.876102284  126323430.967524171 
 315713:6641  05/04/18 19:35:25  1061  1061  353461024.511529863  341833838.636490285 
 315721:6642  05/05/18 05:08:15  589   589   211773665.533644855  204087837.280806243 
 315741:6643  05/05/18 11:57:44  59    59    24566166.675371390   23129592.793263230  
 315764:6645  05/05/18 15:48:29  273   273   116074405.171698421  111100195.066254765 
 315770:6646  05/06/18 02:20:23  294   294   122843186.800670892  118526708.436455950 
 315784:6648  05/06/18 11:07:00  126   126   52152153.620735012   50278289.078935929  
 315785:6648  05/06/18 12:23:07  303   303   105686852.479169741  102394762.136129990 
 315786:6648  05/06/18 14:25:10  72    72    21825131.287541915   20989017.833022431  
 315790:6648  05/06/18 18:12:53  921   921   170562481.374982029  166943954.785552323 
 315800:6650  05/07/18 06:55:20  581   581   205874659.772221982  199213438.427608371 
 315801:6650  05/07/18 10:57:12  344   344   97567138.756291896   95075053.080681086  
 315840:6654  05/07/18 21:19:17  1122  1122  351844375.432323158  341882406.961681902 
 315973:6659  05/08/18 23:33:11  855   855   274264199.320310473  267198835.325412542 
 315974:6659  05/09/18 05:17:09  71    71    18136473.785739563   17615480.174596511  
 316058:6662  05/09/18 20:47:17  364   364   137850418.470541000  132477379.892280549 
 316059:6662  05/09/18 23:10:21  566   566   170797118.257081270  163188827.325731784 
 316060:6662  05/10/18 02:53:15  935   935   193002132.135657489  187856740.402334630 
 316061:6662  05/10/18 09:00:15  36    36    5891409.797209562    5789944.645189693   
 316062:6662  05/10/18 10:24:04  4     4     668200.721663675     657439.582572582    
 316082:6663  05/10/18 12:45:59  371   371   140907640.918164760  136601703.189388633 
 316110:6666  05/10/18 21:22:27  210   210   81613370.898098007   79017103.613976389  
 316111:6666  05/10/18 22:46:45  48    48    16974880.485300712   14573457.532112058  
 316113:6666  05/10/18 23:16:41  64    64    21409714.439574614   19663097.820417192  
 316114:6666  05/10/18 23:42:59  1561  1561  358223966.065914810  349062636.368216813 
 316153:6672  05/11/18 17:03:13  770   770   252484391.583765477  245457480.334357858 
 316186:6674  05/12/18 03:00:17  44    44    16475594.386783469   14558605.120519795  
 316187:6674  05/12/18 03:18:33  1970  1970  508314272.233623862  487253667.730076730 
 316199:6675  05/12/18 18:55:11  1165  1165  401781604.169535875  387884740.988117456 
 316200:6675  05/13/18 02:29:15  10    10    2537506.369740450    2131482.367086259   
 316201:6675  05/13/18 02:36:35  498   498   111649838.610904410  105991623.518501371 
 316202:6675  05/13/18 05:53:20  403   403   74551949.924973786   72309327.277510136  
 316216:6677  05/13/18 11:57:39  442   442   173196682.562598884  165690110.405711144 
 316217:6677  05/13/18 15:05:04  264   264   88194530.765961066   85024868.948057115  
 316218:6677  05/13/18 16:52:48  1008  1008  241224265.226687759  234342150.065577984 
 316219:6677  05/13/18 23:33:20  283   283   48535846.849193476   47181664.176709488  
 316239:6681  05/14/18 05:52:33  589   589   210013286.505599827  201883391.823279887 
 316240:6681  05/14/18 09:45:29  1224  1224  282789258.627578139  273273627.988728642 
 316241:6681  05/14/18 17:44:39  324   324   53101075.012262292   51083470.293554410  
 316271:6683  05/15/18 00:23:55  86    86    31057407.625688989   28761946.476131309  
 316361:6688  05/15/18 17:14:36  189   189   27849040.739428323   25926494.578086078  
 316362:6688  05/15/18 18:35:05  425   425   54296673.939655446   52630950.108582266  
 316363:6688  05/15/18 21:31:00  48    48    4816822.200054923    4494835.151693188   
 316377:6690  05/16/18 01:56:03  21    21    3166455.611393065    1876894.239090889   
 316378:6690  05/16/18 02:06:25  29    29    6081756.334303164    3261983.027785147   
 316379:6690  05/16/18 02:20:14  70    70    14273761.596711537   8038050.956450451   
 316380:6690  05/16/18 02:51:00  1208  1208  174668576.524532527  170741402.374521524 
 316455:6693  05/16/18 19:16:26  36    36    9626966.017626110    9305320.776212949   
 316457:6693  05/16/18 19:38:29  1454  1454  324995962.392466784  315848938.559505999 
 316469:6694  05/17/18 07:48:26  428   428   149021720.101724833  144077503.882450223 
 316470:6694  05/17/18 11:54:10  476   476   116665744.434110582  112692838.819411814 
 316472:6694  05/17/18 15:00:36  328   328   65635763.744878076   63826371.789814793  
 316505:6696  05/18/18 00:24:12  1319  1319  399244087.435824335  386449151.403394759 
 316569:6700  05/19/18 02:15:14  1888  1888  480806532.016199350  467453263.938321710 
 316590:6702  05/19/18 20:55:26  510   510   188488091.571509153  182608416.392503709 
 316613:6706  05/20/18 07:52:23  193   193   31471291.059373487   30818854.458114196  
 316615:6706  05/20/18 09:12:46  338   338   48910006.421584710   48015272.050463021  
 316666:6709  05/20/18 21:51:34  981   981   279716450.651353836  269000891.966437757 
 316667:6709  05/21/18 04:15:41  197   197   41951081.228066459   40543939.444683239  
 316700:6710  05/21/18 11:45:23  311   311   117455424.520767093  110277287.872056350 
 316701:6710  05/21/18 14:12:33  479   479   145076226.144955814  138597175.093337148 
 316702:6710  05/21/18 17:21:19  388   388   94682561.775380939   91826782.264228448  
 316715:6711  05/22/18 01:10:33  13    13    3223184.499521938    2906588.550014375   
 316716:6711  05/22/18 01:30:22  181   181   67195593.968004450   59547483.476455122  
 316717:6711  05/22/18 02:44:01  192   192   64141140.453973673   60999748.002459683  
 316718:6711  05/22/18 04:00:36  311   311   90112290.772830218   86765732.632972032  
 316719:6711  05/22/18 06:17:38  136   136   34005097.811268456   31176418.355868947  
 316720:6711  05/22/18 07:16:07  182   182   41466582.047176629   40093379.832662001  
 316721:6711  05/22/18 08:29:43  15    15    3213817.631741018    3136787.838360791   
 316722:6711  05/22/18 08:45:58  751   751   134354936.152317047  129472608.352082178 
 316723:6711  05/22/18 13:38:49  64    64    9447753.634047909    9247834.089623110   
 316758:6712  05/22/18 16:43:00  1599  1599  454125034.063801706  438427392.618905723 
 316766:6714  05/23/18 05:50:21  2148  2148  557055353.820541739  539896981.251141548 
 316876:6719  05/24/18 23:17:16  610   610   227977177.745081276  208559222.017197609 
 316877:6719  05/25/18 03:18:17  395   395   110800548.174402282  106823334.301146775 
 316879:6719  05/25/18 06:01:35  156   156   37060410.513993680   35128560.350918576  
 316928:6724  05/25/18 17:30:22  149   149   44027272.261788584   42792746.456982702  
 316985:6731  05/27/18 20:04:09  471   471   171688323.595607817  166366918.345818967 
 316993:6733  05/28/18 03:32:51  211   211   76825064.171712577   71784376.787966639  
 316994:6733  05/28/18 04:58:47  14    14    4886746.868911103    4587451.582863469   
 316995:6733  05/28/18 05:06:29  623   623   184668846.947897792  179192071.166748822 
 317080:6737  05/28/18 20:40:32  26    26    7886039.046799281    7430569.783763323   
 317087:6738  05/28/18 23:14:12  741   741   243577318.945055872  234153917.051318884 
 317089:6738  05/29/18 04:46:52  1003  1003  212820790.076331526  204729731.797574997 
 317182:6741  05/30/18 09:15:47  1377  1377  405681994.596428156  390602966.569980979 
 317212:6744  05/31/18 02:42:18  140   140   52281093.912929371   49255412.558512367  
 317213:6744  05/31/18 03:40:05  375   375   125352888.406496599  120693741.522547141 
 317279:6747  05/31/18 17:11:11  466   466   66614005.954133250   64332082.434614204  
 317291:6749  06/01/18 02:53:28  791   791   272736348.185244381  263712510.843157917 
 317292:6749  06/01/18 08:08:06  330   330   84205611.350035965   81673631.815888464  
 317297:6749  06/01/18 11:34:35  697   697   122303041.846021384  118834733.476388916 
 317319:6751  06/01/18 19:42:34  139   139   54741842.943344116   51604380.745124914  
 317320:6751  06/01/18 20:37:54  1820  1820  458599044.151587188  442953816.211557388 
 317338:6752  06/02/18 10:48:26  42    42    15361839.711887933   13101238.965248547  
 317339:6752  06/02/18 11:06:15  163   163   65881176.691959791   63374624.512249261  
 317340:6752  06/02/18 12:17:49  418   418   142187242.133055151  135221668.170600533 
 317382:6755  06/03/18 16:34:21  71    71    26778145.370136000   23254901.439279649  
 317383:6755  06/03/18 17:05:19  58    58    23037928.415865630   21649579.162491191  
 317391:6757  06/04/18 03:22:00  8     8     3367516.705647971    2627410.621542449   
 317392:6757  06/04/18 03:27:45  1898  1898  485771797.120685101  471633899.509169102 
 317435:6759  06/05/18 00:15:36  1397  1397  360526626.288029492  347198925.664607882 
 317438:6759  06/05/18 09:20:21  307   307   49730076.783485256   47770572.511825040  
 317475:6761  06/05/18 18:13:48  68    68    26040794.453209795   24777065.515144162  
 317478:6761  06/05/18 18:47:22  23    23    8147720.784726276    7610915.373311374   
 317484:6761  06/05/18 19:51:18  523   523   159252708.515567183  154115634.328126848 
 317488:6761  06/05/18 23:26:32  844   844   179418804.797282517  173890648.599772990 
 317527:6763  06/06/18 22:52:13  1447  1447  448252240.322347701  434267761.743491232 
 317591:6768  06/08/18 07:07:55  292   292   110950375.514394045  106962125.385901898 
 317626:6770  06/08/18 20:45:31  2006  2006  524827718.644791901  507957827.339512885 
 317640:6772  06/09/18 13:47:49  801   801   260913923.421025276  250898825.830709457 
 317641:6772  06/09/18 19:02:10  1390  1390  265107668.526448667  257334706.707439244 
 317648:6773  06/10/18 06:27:57  95    95    36026990.355003670   32582446.026209012  
 317649:6773  06/10/18 07:08:13  621   621   192486700.926295310  185577912.114865988 
 317650:6773  06/10/18 11:10:27  1304  1304  253526363.164518595  245569587.317638397 
 317661:6774  06/10/18 21:57:00  1222  1222  371817720.854240477  360408713.031659186 
 317663:6774  06/11/18 06:27:15  858   858   150682489.224378258  146907101.740585059 
 317683:6776  06/11/18 16:18:33  320   320   117535559.564005196  113188812.817542255 
 317696:6778  06/12/18 00:00:43  645   645   228534721.496908218  219814423.067354500 
 318733:6850  06/26/18 22:28:18  33    33    2877056.193959796    2690376.170141911   
 318828:6858  06/28/18 06:30:24  70    70    13258133.427133800   12822714.429521699  
 318872:6860  06/28/18 15:50:31  272   272   91132358.268151268   87901766.815205619  
 318874:6860  06/28/18 17:39:39  320   320   99322392.585541725   94917432.296756104  
 318876:6860  06/28/18 19:45:23  161   161   46586927.072202846   44263059.892530844  
 318877:6860  06/28/18 20:49:22  615   615   155978080.523047537  151711507.853722095 
 319077:6874  07/01/18 23:27:46  41    41    16224535.401176622   15766860.376652125  
 319337:6901  07/08/18 02:05:51  2193  2193  229074636.770684928  224324313.774351656 
