#Data tag : 24v2 , Norm tag: onlineresult
#+-------------+-------------------+------+------+---------------------+---------------------+
# run:fill     time               nls   ncms  delivered(/ub)       recorded(/ub)       
#+-------------+-------------------+------+------+---------------------+---------------------+
 273158:4915  05/11/16 20:42:35  1282  1278  53510442.895121522   50096647.017176166  
 273302:4919  05/13/16 02:13:38  459   459   16891613.459403384   16204774.837452721  
 273402:4924  05/14/16 01:49:19  193   193   6922515.361345761    6549429.328887406   
 273403:4924  05/14/16 03:05:28  68    65    2446818.727971807    1813393.159376337   
 273404:4924  05/14/16 03:31:50  22    22    786915.416605000     608061.762605702    
 273405:4924  05/14/16 03:42:33  33    28    1175318.992518629    796232.510044939    
 273406:4924  05/14/16 03:56:09  125   117   4382278.700290754    3751947.141095463   
 273408:4924  05/14/16 04:52:04  9     8     311978.030561642     179910.688268856    
 273409:4924  05/14/16 04:56:42  317   314   10749312.427946288   9417038.403047223   
 273410:4924  05/14/16 06:59:49  99    98    3263408.962126510    2727800.537770255   
 273411:4924  05/14/16 07:38:50  29    29    789018.018338792     738158.244731858    
 273425:4925  05/14/16 11:17:57  680   678   28094545.101128772   26373888.147838656  
 273446:4926  05/14/16 20:06:56  48    46    3253012.538822384    2092097.826817266   
 273447:4926  05/14/16 20:26:10  419   419   27133417.720404226   25361118.356082350  
 273448:4926  05/14/16 23:11:52  396   396   23732442.475468870   22305021.391963638  
 273449:4926  05/15/16 01:48:10  216   216   12263502.061825676   11594442.524439992  
 273450:4926  05/15/16 03:19:38  643   643   33423173.620997157   32005031.849287368  
 273492:4930  05/16/16 09:07:34  271   267   12270180.263417773   11482895.645798802  
 273493:4930  05/16/16 10:54:39  241   236   10699962.727772199   9945891.819125466   
 273494:4930  05/16/16 12:28:42  192   192   8216537.840983146    7951505.696066051   
 273502:4935  05/16/16 20:00:07  1002  997   46520648.308028765   44252524.851998329  
 273503:4935  05/17/16 02:31:27  598   598   24850229.143554408   24085300.899224654  
 273554:4942  05/18/16 05:30:44  368   366   26519134.383131713   24962164.131981112  
 273555:4942  05/18/16 07:55:51  173   173   11795967.235124165   11414840.442912912  
 273725:4947  05/20/16 02:37:26  2473  2470  155626083.424185872  149907234.674868643 
